code,std_code,name,group
004545,KR7004541009,깨끗한나라우,ST
004560,KR7004560009,현대비앤지스틸,ST
004690,KR7004690004,삼천리,ST
0046A0,KR70046A0008,TIGER 미국초단기(3개월이하)국채,EF
0046Y0,KR70046Y0000,ACE 미국배당퀄리티,EF
004700,KR7004700001,조광피혁,ST
004710,KR7004710000,한솔테크닉스,ST
004720,KR7004720009,팜젠사이언스,ST
004770,KR7004770004,써니전자,ST
0047A0,KR70047A0007,TIGER 차이나테크TOP10,EF
0047N0,KR70047N0002,PLUS 차이나AI테크TOP10,EF
0047P0,KR70047P0000,RISE 테슬라고정테크100,EF
0047R0,KR70047R0008,RISE 팔란티어고정테크100,EF
004800,KR7004800009,효성,ST
004830,KR7004830006,덕성,ST
004835,KR7004831004,덕성우,ST
004840,KR7004840005,DRB동일,ST
004870,KR7004870002,티웨이홀딩스,ST
004890,KR7004890000,동일산업,ST
0048J0,KR70048J0007,KODEX 미국머니마켓액티브,EF
0048K0,KR70048K0004,KODEX 차이나휴머노이드로봇,EF
004910,KR7004910006,조광페인트,ST
004920,KR7004920005,씨아이테크,ST
004960,KR7004960001,한신공영,ST
004970,KR7004970000,신라교역,ST
004980,KR7004980009,성신양회,ST
004985,KR7004981007,성신양회우,ST
004990,KR7004990008,롯데지주,ST
00499K,KR700499K014,롯데지주우,ST
0049K0,KR70049K0003,ACE 미국배당퀄리티채권혼합50,EF
0049M0,KR70049M0001,ACE 미국배당퀄리티+커버드콜액티브,EF
005010,KR7005010004,휴스틸,ST
005030,KR7005030002,부산주공,ST
005070,KR7005070008,코스모신소재,ST
005090,KR7005090006,SGC에너지,ST
0050E0,KR70050E0007,PLUS 미국AI에이전트,EF
005110,KR7005110002,한창,ST
005180,KR7005180005,빙그레,ST
0051A0,KR70051A0000,KoAct 브로드컴밸류체인액티브,EF
0051G0,KR70051G0004,SOL 미국원자력SMR,EF
005250,KR7005250006,녹십자홀딩스,ST
005257,KR7005252002,녹십자홀딩스2우,ST
0052D0,KR70052D0006,TIGER 코리아배당다우존스,EF
0052S0,KR70052S0009,1Q 미국S&P500미국채혼합50액티브,EF
0052T0,KR70052T0008,1Q 중단기회사채(A-이상)액티브,EF
005300,KR7005300009,롯데칠성,ST
005305,KR7005301007,롯데칠성우,ST
005320,KR7005320007,온타이드,ST
005360,KR7005360003,모나미,ST
005380,KR7005380001,현대차,ST
005385,KR7005381009,현대차우,ST
005387,KR7005382007,현대차2우B,ST
005389,KR7005383005,현대차3우B,ST
0053L0,KR70053L0005,TIGER 차이나휴머노이드로봇,EF
0053M0,KR70053M0004,더제이 중소형포커스액티브,EF
005420,KR7005420005,코스모화학,ST
005430,KR7005430004,한국공항,ST
