code,name,group_code,market
143860,TIGER 헬스케어,EF,K
144510,지씨셀,ST,Q
144600,KODEX 은선물(H),EF,K
144960,뉴파워프라즈마,ST,Q
145020,휴젤,ST,Q
145170,노브랜드,ST,Q
145210,다이나믹디자인,ST,K
145270,케이탑리츠,RT,K
145670,ACE 인버스,EF,K
145720,덴티움,ST,K
145850,TREX 펀더멘탈 200,EF,K
145990,삼양사,ST,K
145995,삼양사우,ST,K
146060,율촌,ST,Q
146320,비씨엔씨,ST,Q
147760,피엠티,ST,Q
147830,제룡산업,ST,Q
147970,TIGER 모멘텀,EF,K
148020,RISE 200,EF,K
148070,KIWOOM 국고채10년,EF,K
148150,세경하이테크,ST,Q
148250,알엔투테크놀로지,ST,Q
148780,비큐AI,ST,Q
148930,에이치와이티씨,ST,Q
149950,아바텍,ST,Q
149980,하이로닉,ST,Q
150460,TIGER 중국소비테마,EF,K
150900,파수AI,ST,Q
151860,KG에코솔루션,ST,Q
152100,PLUS 200,EF,K
152380,KODEX 국채선물10년,EF,K
152500,ACE 레버리지,EF,K
152870,파워 200,EF,K
153130,KODEX 단기채권,EF,K
153270,KIWOOM 코스피100,EF,K
153460,네이블,ST,Q
153490,우리이앤엘하루틴,ST,Q
153710,옵티팜,ST,Q
153890,져스텍,ST,Q
154030,아시아종묘,ST,Q
154040,다산솔루에타,ST,Q
155650,와이엠씨,ST,Q
155660,DSR,ST,K
156080,KODEX MSCI Korea,EF,K
156100,엘앤케이바이오,ST,Q
157450,TIGER 단기통안채,EF,K
157490,TIGER 소프트웨어,EF,K
157500,TIGER 증권,EF,K
158430,아톤,ST,Q
159010,아스플로,ST,Q
159580,제로투세븐,ST,Q
159800,마이티 코스피100,EF,K
159910,에코글로우,ST,Q
160190,하이젠알앤엠,ST,Q
160550,NEW,ST,Q
160580,TIGER 구리실물,EF,K
160980,싸이맥스,ST,Q
161000,애경케미칼,ST,K
161390,한국타이어앤테크놀로지,ST,K
161510,PLUS 고배당주,EF,K
161580,필옵틱스,ST,Q
161890,한국콜마,ST,K
162300,신스틸,ST,Q
163280,에어레인,ST,Q
163560,동일고무벨트,ST,K
163730,핑거,ST,Q
166090,하나머티리얼즈,ST,Q
166400,TIGER 200커버드콜OTM,EF,K
166480,코아스템켐온,ST,Q
167860,KIWOOM 국고채10년레버리지,EF,K
168330,내츄럴엔도텍,ST,Q
168360,펨트론,ST,Q
168580,ACE 중국본토CSI300,EF,K
169330,엠브레인,ST,Q
169950,KODEX 차이나A50,EF,K
170030,현대공업,ST,Q
170790,파이오링크,ST,Q
170900,동아에스티,ST,K
170920,엘티씨,ST,Q
171010,램테크놀러지,ST,Q
171090,선익시스템,ST,Q
171120,라이온켐텍,ST,Q
172670,에이엘티,ST,Q
173130,오파스넷,ST,Q
173940,에프엔씨엔터,ST,Q
174350,TIGER 로우볼,EF,K
174360,RISE 중국본토대형주CSI100,EF,K
174900,앱클론,ST,Q
175140,휴먼테크놀로지,ST,Q
175250,아이큐어,ST,Q
175330,JB금융지주,ST,K
176750,듀켐바이오,ST,Q
176950,KODEX 국채선물10년인버스,EF,K
177350,베셀,ST,Q
177830,파버나인,ST,Q
177900,쓰리에이로직스,ST,Q
178320,서진시스템,ST,Q
178780,일월지엠엘,ST,Q
178920,PI첨단소재,ST,K
179290,엠아이텍,ST,Q
179530,애드바이오텍,ST,Q
179900,유티아이,ST,Q
180400,DXVX,ST,Q
180640,한진칼,ST,K
181480,ACE 미국부동산리츠(합성 H),EF,K
181710,NHN,ST,K
182360,큐브엔터,ST,Q
182400,엔케이젠바이오텍코리아,ST,Q
182480,TIGER 미국MSCI리츠(합성 H),EF,K
182490,TIGER 단기선진하이일드(합성 H),EF,K
183190,아세아시멘트,ST,K
183300,코미코,ST,Q
183490,엔지켐생명과학,ST,Q
183700,RISE 200채권혼합50,EF,K
183710,RISE 주식혼합,EF,K
184230,SGA솔루션즈,ST,Q
185490,아이진,ST,Q
185680,KODEX 미국S&P바이오(합성),EF,K
185750,종근당,ST,K
186230,그린플러스,ST,Q
187220,디티앤씨,ST,Q
187270,신화콘텍,ST,Q
187420,HLB제넥스,ST,Q
187660,페니트리움바이오,ST,Q
187790,나노,ST,Q
187870,디바이스,ST,Q
188040,바이오포트,ST,Q
188260,세니젠,ST,Q
189300,인텔리안테크,ST,Q
189330,씨이랩,ST,Q
189400,PLUS 글로벌MSCI(합성 H),EF,K
189690,포시에스,ST,Q
189860,서전기전,ST,Q
189980,흥국에프엔비,ST,Q
190510,나무가,ST,Q
190620,ACE 단기통안채,EF,K
190650,코리아에셋투자증권,ST,Q
191410,육일씨엔에쓰,ST,Q
191420,테고사이언스,ST,Q
192080,더블유게임즈,ST,K
192090,TIGER 차이나CSI300,EF,K
192250,케이사인,ST,Q
192390,윈하이텍,ST,Q
192400,쿠쿠홀딩스,ST,K
192410,오늘이엔엠,ST,Q
192440,슈피겐코리아,ST,Q
192650,드림텍,ST,K
192720,파워 고배당저변동성,EF,K
192820,코스맥스,ST,K
193250,링크드,ST,Q
194370,제이에스코퍼레이션,ST,K
194480,데브시스터즈,ST,Q
194700,노바렉스,ST,Q
195500,마니커에프앤지,ST,Q
195870,해성디에스,ST,K
195920,TIGER 일본TOPIX(합성 H),EF,K
195930,TIGER 유로스탁스50(합성 H),EF,K
195940,HK이노엔,ST,Q
195970,PLUS 선진국MSCI(합성 H),EF,K
195980,PLUS 신흥국MSCI(합성 H),EF,K
195990,루트K,ST,Q
196030,ACE 일본TOPIX레버리지(H),EF,K
196170,알테오젠,ST,Q
196230,RISE 단기통안채,EF,K
196300,HLB펩,ST,Q
196450,코아시아씨엠,ST,Q
196490,디에이테크놀로지,ST,Q
196700,웹스,ST,Q
197140,디지캡,ST,Q
198080,캐프,ST,Q
198440,강동씨앤엘,ST,Q
198940,한주라이트메탈,ST,Q
199430,케이엔알시스템,ST,Q
199480,뱅크웨어글로벌,ST,Q
199550,레이저옵텍,ST,Q
199730,바이오인프라,ST,Q
199800,툴젠,ST,Q
199820,제일일렉트릭,ST,Q
200030,KODEX 미국S&P500산업재(합성),EF,K
200130,콜마비앤에이치,ST,Q
200230,텔콘RF제약,ST,Q
200250,KIWOOM 인도Nifty50(합성),EF,K
200350,아티스트스튜디오,ST,Q
200470,에이팩트,ST,Q
200670,휴메딕스,ST,Q
200710,에이디테크놀로지,ST,Q
200780,비씨월드제약,ST,Q
200880,서연이화,ST,K
201490,미투온,ST,Q
203400,에이비온,ST,Q
203450,유니온바이오메트릭스,ST,Q
203650,드림시큐리티,ST,Q
203690,아크솔루션스,ST,Q
203780,TIGER 미국나스닥바이오,EF,K
204020,그리티,ST,Q
204270,제이앤티씨,ST,Q
204320,HL만도,ST,K
204450,KODEX 차이나H레버리지(H),EF,K
204480,TIGER 차이나CSI300레버리지(합성),EF,K
204610,티쓰리,ST,Q
204620,글로벌텍스프리,ST,Q
204840,지엘팜텍,ST,Q
205100,엑셈,ST,Q
205470,휴마시스,ST,Q
205500,넥써쓰,ST,Q
205720,ACE 일본TOPIX인버스(합성 H),EF,K
206400,베노티앤알,ST,Q
206560,덱스터,ST,Q
206640,바디텍메드,ST,Q
206650,유바이오로직스,ST,Q
207760,미스터블루,ST,Q
207940,삼성바이오로직스,ST,K
208140,정다운,ST,Q
208350,지란지교시큐리티,ST,Q
208370,셀바스헬스케어,ST,Q
208640,썸에이지,ST,Q
208710,포톤,ST,Q
208860,다산디엠씨,ST,Q
209640,와이제이링크,ST,Q
210120,캔버스엔,ST,Q
210540,디와이파워,ST,K
210780,TIGER 코스피고배당,EF,K
210980,SK디앤디,ST,K
211050,인카금융서비스,ST,Q
211270,AP위성,ST,Q
211560,TIGER 배당성장,EF,K
211900,KODEX 코리아배당성장,EF,K
212560,네오오토,ST,Q
212710,아이에스티이,ST,Q
213420,덕산네오룩스,ST,Q
213500,한솔제지,ST,K
213610,KODEX 삼성그룹밸류,EF,K
213630,PLUS 미국다우존스고배당주(합성 H),EF,K
214150,클래시스,ST,Q
214180,헥토이노베이션,ST,Q
214260,라파스,ST,Q
214270,FSN,ST,Q
214320,이노션,ST,K
214330,금호에이치티,ST,K
214370,케어젠,ST,Q
214390,경보제약,ST,K
214420,토니모리,ST,K
214430,아이쓰리시스템,ST,Q
214450,파마리서치,ST,Q
214610,롤링스톤,ST,Q
214680,디알텍,ST,Q
214980,KODEX 단기채권PLUS,EF,K
215000,골프존,ST,Q
215090,솔디펜스,ST,Q
215100,로보로보,ST,Q
215200,메가스터디교육,ST,Q
215360,우리산업,ST,Q
215380,우정바이오,ST,Q
215480,토박스코리아,ST,Q
215600,신라젠,ST,Q
215620,HK S&P코리아로우볼,EF,K
215790,이노인스트루먼트,ST,Q
216050,인크로스,ST,Q
216080,제테마,ST,Q
217190,제너셈,ST,Q
217270,넵튠,ST,Q
217330,싸이토젠,ST,Q
217480,에스디생명공학,ST,Q
217500,러셀,ST,Q
217590,티엠씨,ST,K
217730,강스템바이오텍,ST,Q
217770,TIGER 원유선물인버스(H),EF,K
217780,TIGER 차이나CSI300인버스(합성),EF,K
217820,원익피앤이,ST,Q
218150,미래생명자원,ST,Q
218410,RFHIC,ST,Q
218420,KODEX 미국S&P500에너지(합성),EF,K
219130,타이거일렉,ST,Q
219390,RISE 미국S&P원유생산기업(합성 H),EF,K
219420,링크제니시스,ST,Q
219480,KODEX 미국S&P500선물(H),EF,K
219550,디와이디,ST,Q
219750,한국비티비,ST,Q
219900,ACE 중국본토CSI300레버리지(합성),EF,K
220100,퓨쳐켐,ST,Q
220130,SOL 차이나강소기업CSI500(합성 H),EF,K
220180,핸디소프트,ST,Q
220260,켐트로스,ST,Q
221800,지구홀딩스,ST,Q
221840,하이즈항공,ST,Q
221980,케이디켐,ST,Q
222040,코스맥스엔비티,ST,Q
222080,SFA넥셀,ST,Q
222110,팬젠,ST,Q
222160,NPX,ST,Q
222420,쎄노텍,ST,Q
222800,심텍,ST,Q
222980,한국맥널티,ST,Q
223190,KODEX 200가치저변동,EF,K
223250,드림씨아이에스,ST,Q
223310,사토시홀딩스,ST,Q
224060,더코디,ST,Q
224110,에이텍모빌리티,ST,Q
225030,TIGER 미국S&P500선물인버스(H),EF,K
225040,TIGER 미국S&P500레버리지(합성 H),EF,K
225050,TIGER 유로스탁스레버리지(합성 H),EF,K
225060,TIGER 이머징마켓MSCI레버리지(합성 H),EF,K
225130,ACE 골드선물 레버리지(합성 H),EF,K
225190,LK삼양,ST,Q
225220,제놀루션,ST,Q
225430,케이엠제약,ST,Q
225530,HC보광산업,ST,Q
225570,넥슨게임즈,ST,Q
225590,패션플랫폼,ST,Q
225800,KIWOOM 미국달러선물레버리지,EF,K
226320,잇츠한불,ST,K
226330,신테카바이오,ST,Q
226340,본느,ST,Q
226380,ACE Fn성장소비주도주,EF,K
226400,오스테오닉,ST,Q
226490,KODEX 코스피,EF,K
226590,엠디바이스,ST,Q
226950,올릭스,ST,Q
226980,KODEX 200 중소형,EF,K
227100,프로브잇,ST,Q
227540,TIGER 200 헬스케어,EF,K
227550,TIGER 200 산업재,EF,K
227560,TIGER 200 생활소비재,EF,K
227570,TIGER 우량가치,EF,K
227610,아우딘퓨쳐스,ST,Q
227830,PLUS 코스피,EF,K
227840,현대코퍼레이션홀딩스,ST,K
227950,엔투텍,ST,Q
228340,동양파일,ST,Q
228670,레이,ST,Q
228760,지노믹트리,ST,Q
228790,TIGER 화장품,EF,K
228800,TIGER 여행레저,EF,K
228810,TIGER 미디어컨텐츠,EF,K
228820,TIGER KTOP30,EF,K
228850,레이언스,ST,Q
229000,젠큐릭스,ST,Q
229200,KODEX 코스닥150,EF,K
229640,LS에코에너지,ST,K
229720,KODEX KTOP30,EF,K
230240,에치에프알,ST,Q
230360,에코마케팅,ST,Q
230480,KIWOOM 미국달러선물인버스2X,EF,K
232080,TIGER 코스닥150,EF,K
232140,와이씨,ST,Q
232680,라온로보틱스,ST,Q
232830,아이티센피엔에스,ST,Q
233160,TIGER 코스닥150 레버리지,EF,K
233740,KODEX 코스닥150레버리지,EF,K
234030,싸이닉솔루션,ST,Q
234080,JW생명과학,ST,K
234100,폴라리스세원,ST,Q
234300,에스트래픽,ST,Q
234310,RISE V&S셀렉트밸류,EF,K
234340,헥토파이낸셜,ST,Q
234690,녹십자웰빙,ST,Q
234920,자이글,ST,Q
235980,메드팩토,ST,Q
236200,슈프리마,ST,Q
236350,TIGER 인도니프티50레버리지(합성),EF,K
236810,엔비티,ST,Q
237350,KODEX 코스피100,EF,K
237370,KODEX 코리아배당성장채권혼합,EF,K
237440,TIGER 경기방어채권혼합,EF,K
237690,에스티팜,ST,Q
